batch_size,hidden_units,learning_rate,model,1-gram %,2-gram %,3-gram %,4-gram %,train_loss,val_loss
32.0,512.0,0.01,lstm,82.08092498779297,44.1860466003418,11.695906639099121,1.7647058963775635,1.255228877067566,1.30630362033844
128.0,768.0,0.001,rnn,91.8128662109375,60.0,14.792899131774902,1.7857142686843872,1.117134690284729,1.2252140045166016
128.0,256.0,0.01,rnn,76.87861633300781,30.23255729675293,3.5087718963623047,0.5882353186607361,1.4706696271896362,1.5078301429748535
64.0,768.0,0.01,rnn,56.06936264038086,17.44186019897461,1.1695905923843384,0.0,1.829677700996399,1.8477696180343628
32.0,256.0,0.001,lstm,87.13450622558594,49.411766052246094,16.56804656982422,1.1904761791229248,1.1866968870162964,1.2509301900863647
128.0,1024.0,0.0001,lstm2,85.86956787109375,53.55191421508789,13.186813354492188,1.1049723625183105,1.2600011825561523,1.310322642326355
128.0,256.0,0.001,lstm2,88.46154022216797,56.90607833862305,14.44444465637207,0.5586591958999634,1.221073865890503,1.2714229822158813
32.0,512.0,0.001,lstm,89.63414764404297,51.53374099731445,14.814814567565918,2.4844720363616943,1.0555729866027832,1.1793022155761719
32.0,1024.0,0.01,lstm2,40.22988510131836,9.248555183410645,0.0,0.0,2.1217339038848877,2.123509168624878
32.0,1024.0,0.001,rnn,87.80487823486328,60.7361946105957,19.13580322265625,1.2422360181808472,1.1831481456756592,1.2567485570907593
32.0,768.0,0.0001,rnn,76.87861633300781,41.86046600341797,9.356724739074707,2.3529412746429443,1.2229467630386353,1.2902500629425049
64.0,1024.0,0.01,lstm,86.11111450195312,51.95530700683594,8.426966667175293,0.0,1.2929372787475586,1.3504698276519775
64.0,768.0,0.001,lstm2,94.35028076171875,62.5,19.428571701049805,2.873563289642334,0.9826187491416931,1.1484220027923584
32.0,768.0,0.01,lstm2,79.88166046142578,39.880950927734375,8.982035636901855,0.6024096608161926,1.446745753288269,1.482373595237732
32.0,512.0,0.001,rnn,87.4251480102539,50.60240936279297,12.121212005615234,0.6097561120986938,1.186862826347351,1.2685608863830566
64.0,256.0,0.01,rnn,75.72254180908203,32.55813980102539,1.7543859481811523,0.0,1.4950041770935059,1.5268003940582275
64.0,768.0,0.001,lstm,91.12425994873047,52.97618865966797,13.173652648925781,0.6024096608161926,1.0039619207382202,1.1577160358428955
32.0,1024.0,0.01,lstm,87.57396697998047,47.02381134033203,12.574850082397461,3.0120482444763184,1.228965163230896,1.2862101793289185
32.0,768.0,0.0001,lstm,88.50574493408203,52.60115432739258,12.790698051452637,2.3391811847686768,1.213735580444336,1.2685215473175049
64.0,512.0,0.01,lstm,89.83050537109375,54.54545593261719,17.14285659790039,2.2988505363464355,1.2067965269088745,1.2697128057479858
32.0,768.0,0.01,lstm,87.3563232421875,47.97687911987305,10.465116500854492,1.7543859481811523,1.2488402128219604,1.3097971677780151
